bin	one_hot
0000	0000000001
0001	0000000010
0010	0000000100
0011	0000001000
0100	0000010000
0101	0000100000
0110	0001000000
0111	0010000000
1000	0100000000
1001	1000000000
1010	0000000001
1011	0000000001
1100	0000000001
1101	0000000001
1110	0000000001
1111	0000000001
0000	0000000001
0001	0000000010
1010	0000000001
0110	0001000000
0111	0010000000
1000	0100000000
1001	1000000000
1000	0100000000
0111	0010000000
0110	0001000000
0101	0000100000
0100	0000010000
0011	0000001000
0010	0000000100
0001	0000000010
0000	0000000001
1111	0000000001
0101	0000100000
